timestamp,ankle_horiz_fwd,ankle_vert,ankle_horiz_lateral,leg_horiz_fwd,leg_vert,leg_horiz_lateral,trunk_horiz_fwd,trunk_vert,trunk_horiz_lateral,is_anomaly
1970-01-01 00:04:40.000,101,1000,297,-9,953,303,330,942,-145,0
1970-01-01 00:04:40.015,101,1000,287,-27,944,292,310,933,-155,0
1970-01-01 00:04:40.031,121,980,287,-27,935,292,300,952,-135,0
1970-01-01 00:04:40.046,111,1000,277,-27,962,282,320,961,-165,0
1970-01-01 00:04:40.062,101,980,306,-45,953,262,310,933,-126,0
1970-01-01 00:04:40.078,90,990,287,-27,944,262,310,952,-126,0
1970-01-01 00:04:40.093,90,980,306,-36,944,262,300,961,-145,0
1970-01-01 00:04:40.109,80,1000,306,-45,953,242,291,961,-135,0
1970-01-01 00:04:40.125,90,1000,287,-54,962,242,262,971,-126,0
1970-01-01 00:04:40.140,90,1009,287,-36,962,252,223,980,-135,0
1970-01-01 00:04:40.156,101,1000,326,-54,944,292,233,1000,-145,0
1970-01-01 00:04:40.171,80,980,326,-45,925,303,203,1000,-135,0
1970-01-01 00:04:40.187,101,1009,306,-54,944,333,194,1000,-135,0
1970-01-01 00:04:40.203,121,1019,287,-54,981,313,203,980,-126,0
1970-01-01 00:04:40.218,121,990,306,-27,962,292,194,990,-97,0
1970-01-01 00:04:40.234,101,1009,306,-36,944,303,213,1009,-155,0
1970-01-01 00:04:40.250,70,1000,326,-54,925,313,203,1000,-126,0
1970-01-01 00:04:40.265,80,1000,287,-81,925,323,184,980,-106,0
1970-01-01 00:04:40.281,90,1000,326,-127,935,343,194,990,-106,0
1970-01-01 00:04:40.296,131,970,326,-145,907,414,174,990,-126,0
1970-01-01 00:04:40.312,111,1000,336,-118,916,373,155,1028,-116,0
1970-01-01 00:04:40.328,131,990,306,-81,925,373,174,971,-126,0
1970-01-01 00:04:40.343,111,990,306,-63,944,343,165,1000,-106,0
1970-01-01 00:04:40.359,121,980,306,-54,944,323,155,1009,-126,0
1970-01-01 00:04:40.375,141,970,306,-54,944,303,203,990,-116,0
1970-01-01 00:04:40.390,141,970,297,-81,962,282,213,1019,-145,0
1970-01-01 00:04:40.406,121,1000,277,-100,944,282,213,990,-116,0
1970-01-01 00:04:40.421,90,1000,297,-118,953,272,203,980,-106,0
1970-01-01 00:04:40.437,111,1019,306,-136,962,313,213,971,-126,0
1970-01-01 00:04:40.453,161,1009,316,-118,935,303,194,1009,-165,0
1970-01-01 00:04:40.468,151,1009,316,-54,935,333,165,1019,-174,0
1970-01-01 00:04:40.484,161,1009,297,-9,935,353,155,1019,-165,0
1970-01-01 00:04:40.500,171,990,326,9,953,343,135,1028,-184,0
1970-01-01 00:04:40.515,161,1009,316,0,925,393,145,1019,-135,0
1970-01-01 00:04:40.531,181,1000,267,-27,953,373,126,1000,-116,0
1970-01-01 00:04:40.546,161,990,326,-54,953,353,135,1009,-155,0
1970-01-01 00:04:40.562,151,990,316,-54,925,353,184,990,-184,0
1970-01-01 00:04:40.578,151,980,297,-72,935,333,116,971,-213,0
