timestamp,value-0,value-1,is_anomaly
0,-1.0251685106923758,-1.0314618230966146,0.0
1,-1.0165196709860782,-0.988468665905192,0.0
2,-0.9384198411276528,-0.9793511996752473,0.0
3,-0.927146281256825,-1.019426095694707,0.0
4,-0.9824115021725528,-0.9121247105914623,0.0
5,-1.0190029195343548,-0.9414847227462187,0.0
6,-1.0025171234717298,-0.9766855513638228,0.0
7,-0.9950430902520208,-1.0146780997143334,0.0
8,-1.0667417365197738,-0.9439464231516196,0.0
9,-1.0484919550654455,-1.0621689914812753,0.0
10,-0.9617017894733924,-0.9631359096223847,0.0
11,-0.9771742790316454,-0.9862708452073137,0.0
12,-0.9873673906158976,-1.0104418610004864,0.0
13,-0.9010655230384313,-1.03843239266719,0.0
14,-1.0314354600058329,-0.9555660703124453,0.0
15,-1.042669905491593,-0.9635218158658404,0.0
16,-0.972950660828445,-0.9757023709711259,0.0
17,-1.0555062778079616,-1.053548810797796,0.0
18,-0.9230034229564406,-1.04018772937851,0.0
19,-0.9801552050003222,-1.04135758120773,0.0
20,-1.0634258393662175,-0.9597517765633078,0.0
21,-0.9976061811602345,-1.057858410889312,0.0
22,-0.9711095860975807,-0.9274141734676116,0.0
23,-1.0612514056141846,-0.9923784997021364,0.0
24,-1.026212883558882,-1.09988298612439,0.0
25,-0.9687637442010595,-1.0322282085372245,0.0
26,-0.965982336543247,-1.0498191052811772,0.0
27,-1.003122222284705,-0.907523532674945,0.0
28,-1.0205406226772102,-1.0065742022627704,0.0
29,-1.0792972641917868,-0.9966565563049448,0.0
30,-1.0935184504697284,-1.0080139304810871,0.0
31,-0.9908639856155615,-1.0438482030889538,0.0
32,-0.9607219177194196,-1.0957405306965824,0.0
33,-1.0169464623302498,-1.0045647222925989,0.0
34,-0.9621018690259201,-1.0509625221830754,0.0
35,-0.994390810762353,-0.9998515126814526,0.0
36,-0.9210228882574265,-0.9917906797514381,0.0
37,-1.0638783088014971,-1.004085976536453,0.0
38,-1.0043331725594749,-1.0244202469539416,0.0
39,-0.9856689331394727,-0.8841769213623247,0.0
40,-0.9746341772454696,-1.0094269942074368,0.0
41,-1.0597867303043254,-0.9965167430669237,0.0
42,-0.9684826768211623,-0.9988889022174932,0.0
43,-1.0294726647489705,-0.9849602139606727,0.0
44,-1.0120635092121095,-0.9998415604275072,0.0
45,-0.9433136376315516,-1.0159950127784,0.0
46,-0.9181354205833065,-0.9625339840144236,0.0
47,-1.0579536137825118,-0.9875707360830182,0.0
