timestamp,value-0,value-1,is_anomaly
0,-1.0364499767202373,-0.9637219716743703,0
1,-1.0507160413827898,-0.992908727888414,0
2,-0.9382319396996426,-0.9739044128493471,0
3,-0.9788215493563778,-1.0651881325596986,0
4,-0.9964682450142278,-1.0004885146415416,0
5,-1.0045684105208659,-0.9828920073266403,0
6,-0.89239538707606,-0.928744042007529,0
7,-0.9624308054474422,-1.023901444911162,0
8,-1.0263203533277168,-1.1135354026546873,0
9,-1.0635168203974055,-1.0981369874738989,0
10,-0.9717224669383282,-1.023295195059727,0
11,-0.9917849492699822,-1.029962652487625,0
12,-0.9866112552226344,-0.9138442827382365,0
13,-1.0786121104176947,-0.8913022913134064,0
14,-1.0065712430783356,-1.080864814864054,0
15,-1.0138304029737513,-1.0434575037322604,0
16,-0.9916555755385761,-1.0752223146966435,0
17,-0.9916325247524608,-0.9775521162092664,0
18,-1.0107305204749515,-0.9552582012878377,0
19,-0.9324082996347961,-1.1890162998864704,0
20,-0.9981603945254819,-1.057108861064767,0
21,-1.0594599490319996,-1.046940818678339,0
22,-1.0214142925911998,-0.9511866113817982,0
23,-1.0191921153879953,-1.0199057251893406,0
24,-1.0079194774530769,-1.0321983355616473,0
25,-1.0146916852345633,-0.9642864716636304,0
26,-0.9707947678390818,-1.0138880104862245,0
27,-1.0588572958744824,-0.996771700466466,0
28,-0.9402864702814735,-1.0544647502525115,0
29,-0.9769287800525032,-1.0872212007283906,0
30,-0.9227503513943204,-0.9139934508276744,0
31,-1.0274072408674293,-1.009663880791482,0
32,-1.0169237384778775,-1.0127837767378536,0
33,-1.0312109377188956,-0.9927502670096416,0
34,-1.0176914304414242,-1.0933070006610175,0
35,-0.9507465487072002,-1.0036823012260088,0
36,-1.0151717978968975,-0.958338894851023,0
37,-1.0458506683879716,-1.0217425363341255,0
38,-1.0552299439036108,-0.9958036431133702,0
39,-1.01410336913265,-0.9249827335432309,0
40,1.0114358695860923,1.0309882691974115,0
41,1.03870940949827,0.9478394922726219,0
42,0.969214156485297,1.0317719923018334,0
